Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Mazda,Demio,No,$0,"166,531",1," Glass Broken, Ignition Damage, Right Side Damage, Impact Medium - Rear, Impact Medium - Left Side, Impact Medium - Right Side, Stolen & Recovered, Selling De-Registered","4spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006720029/2005-mazda-demio-hatch?referringPage=SearchResults
John Deere,5090,No,N/A,N/A,0," Interior Damage, Water Damage, Selling De-Registered",Automati,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000006700038/2015-john-deere-5090-tractor?referringPage=SearchResults
Nissan,Safari,No,N/A,"194,056",1," Chassis Damage, Front Damage, Impact Heavy - Front, Impact Heavy - Left Side, Selling De-Registered","5spd Manual,",7,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006730076/1992-nissan-safari-kingsroad-station-wagon?referringPage=SearchResults
Toyota,Corolla,Yes,$0,"204,260",1," Right Front Damage, Right Rear Damage, Impact Medium - Rear, Impact Light - Roof, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006730082/2004-toyota-corolla-runx-hatch?referringPage=SearchResults
Mazda,Bongo,No,N/A,"94,309",0," Ignition Damage, Left Side Damage, Right Front Damage, Stolen & Recovered, Selling De-Registered","Automatic,",3,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006700128/1994-mazda-bongo-brawny-flat-deck?referringPage=SearchResults
Nissan,Note,No,N/A,N/A,0," Chassis Damage, Right Rear Damage, Impact Heavy - Rear, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000006720123/2018-nissan-note-hybrid-hatch?referringPage=SearchResults
Kia,Stonic,No,N/A,"16,493",1," Airbags Deployed, Left Side Damage, Impact Heavy - Left Side, Selling De-Registered","6spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006720129/2021-kia-stonic-ltd-1-4p-6at-hatch?referringPage=SearchResults
Holden,Colorado,No,N/A,"216,316",0," Chassis Damage, Left Front Damage, Selling De-Registered","6spd Manual,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006710127/2016-holden-colorado-ls-dc-cc-2-8d-4wd-6-utility?referringPage=SearchResults
Mitsubishi,Fuso,No,N/A,N/A,0," Interior Damage, Water Damage, Selling De-Registered","Manual,",3,N/A,https://manheim.co.nz/damaged-vehicles/000000000006680127/1995-mitsubishi-fuso-box-body?referringPage=SearchResults
Kymco,UXV 450 Turf,No,$0,N/A,0," Front Damage, Impact Heavy - Front, Selling De-Registered","Automatic, Drive Type, 4x2, Fuel Type, Petro",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006700131/2019-kymco-uxv-450-turf-quad-bike?referringPage=SearchResults
CLAAS,Nexos 230ve Cab,No,N/A,N/A,0," Water Damage, Selling De-Registered",N/A,N/A,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006720147/2020-claas-nexos-230ve-cab-tractor?referringPage=SearchResults
Mitsubishi,ASX,No,N/A,"141,535",1," Front Damage, Impact Medium - Front, Impact Light - Left Side, Impact Light - Right Side, Under Body Damage, Selling De-Registered","CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006720177/2017-mitsubishi-asx-xls-2-0p-cvt-station-wagon?referringPage=SearchResults
Ducati,Monster,No,$0,"22,685",0, Selling De-Registered,"Manual,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006700170/2014-ducati-monster-659-abs-motorcycle?referringPage=SearchResults
CLAAS,230ve Nexos,No,N/A,N/A,0," Interior Damage, Water Damage, Selling De-Registered",Automati,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000006700188/2018-claas-230ve-nexos-tractor?referringPage=SearchResults
Steelbro,5 Axle,No,N/A,N/A,, Selling Registered,N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000006540197/1994-steelbro-5-axle-mcjla-b-train?referringPage=SearchResults
