Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
TRAILER,Jetski,No,$350,N/A,0, Selling Registered,Automati,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000006730010/2006-trailer-jetski-trailer--boat-?referringPage=SearchResults
Mitsubishi,Colt,No,$200,"165,795",0," Right Front Damage, Right Side Damage, Selling De-Registered","5spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006700032/2004-mitsubishi-colt-plus-hatch?referringPage=SearchResults
Volkswagen,Golf,No,N/A,"222,799",0," Chassis Damage, Has Key, Left Front Damage, Selling De-Registered","6spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006750046/2012-volkswagen-golf-gti-155kw-6dsg-hatch?referringPage=SearchResults
Honda,Accord,Yes,$400,1,2," Front Damage, Glass Broken, Ignition Damage, Right Rear Damage, Right Side Damage, Dismantled - Interior, Stolen & Recovered, Selling Registered","4spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006760083/1999-honda-accord-sedan?referringPage=SearchResults
Holden,Captiva,No,$600,"140,760",1," Front Damage, Impact Heavy - Front, Selling De-Registered","6spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006770090/2013-holden-captiva-5-lt-2wd-2-4-at-station-wagon?referringPage=SearchResults
Suzuki,Swift,No,$450,N/A,0," Airbags Deployed, Impact Light - Rear, Water Damage, Selling De-Registered","CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006770091/2010-suzuki-swift-hatch?referringPage=SearchResults
Honda,fit,No,$0,"158,759",1," Right Side Damage, Impact Light - Front, Impact Light - Right Side, Selling De-Registered","CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006770095/2007-honda-fit-hatch?referringPage=SearchResults
Mazda,Premacy,No,$0,"161,749",1," Rear Damage, Impact Light - Rear, Selling De-Registered","Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006770099/2007-mazda-premacy-station-wagon?referringPage=SearchResults
Mitsubishi,Lancer,No,$0,"179,345",0," Left Front Damage, Left Side Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006770100/2006-mitsubishi-lancer-sedan?referringPage=SearchResults
Mazda,Atenza,No,$1,N/A,0," Fire Damage, Fire - Entire Vehicle, Stolen & Recovered, Selling De-Registered","4spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006770104/2004-mazda-atenza-sedan?referringPage=SearchResults
Honda,Stream,No,$200,N/A,1," Front Damage, Rear Damage, Roof Damage, Right Side Damage, Impact Heavy - Front, Impact Heavy - Rear, Impact Medium - Left Side, Impact Light - Right Side, Selling De-Registered","5spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006740101/2002-honda-stream-station-wagon?referringPage=SearchResults
Toyota,IST,No,$600,"189,975",1," Left Side Damage, Impact Heavy - Front, Impact Heavy - Left Side, Selling De-Registered","5spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006770112/2005-toyota-ist-hatch?referringPage=SearchResults
Toyota,Altezza,No,$500,"293,848",1," Front Damage, Glass Broken, Rear Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006770115/2000-toyota-altezza-sedan?referringPage=SearchResults
Toyota,Regius,No,N/A,"153,700",1," Rolled, Impact Heavy - Entire Vehicle, Selling De-Registered","5spd Automatic,",3,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006740122/2008-toyota-regius-ace-van?referringPage=SearchResults
Mazda,Demio,No,$0,"155,356",0," Ignition Damage, Vandalised - Interior, Impact Medium - Front, Impact Light - Left Side, Impact Light - Right Side, Stolen & Recovered, Selling De-Registered","4spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006710120/2005-mazda-demio-hatch?referringPage=SearchResults
BERTOLINI,BAO 2000 Sprayer,No,$240,N/A,0," Water Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000006720137/2000-bertolini-bao-2000-sprayer-sprayer?referringPage=SearchResults
Suzuki,SV650A,No,"$2,150",N/A,1," Front Damage, Left Side Damage, Selling De-Registered",N/A,N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006740139/2021-suzuki-sv650a-abs-motorcycle?referringPage=SearchResults
Toyota,Caldina,No,$400,"595,201",1," Left Side Damage, Impact Medium - Left Side, Impact Light - Rear, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006770137/2000-toyota-caldina-ux-station-wagon?referringPage=SearchResults
Mazda,Demio,No,$600,N/A,0," Front Damage, Impact Medium - Front, Selling De-Registered","CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006770171/2008-mazda-demio-hatch?referringPage=SearchResults
Nissan,Tiida,No,$0,"179,995",0," Front Damage, Ignition Damage, Stolen & Recovered, Suspension Damage, Selling De-Registered","CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006770172/2005-nissan-tiida-hatch?referringPage=SearchResults
Mitsubishi,Colt,Yes,$425,"186,817",0," Ignition Damage, Vandalised - Interior, Impact Light - Right Side, Stolen & Recovered, Selling Registered","CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006770213/2006-mitsubishi-colt-hatch?referringPage=SearchResults
Honda,Civic,No,$200,"126,360",0," Has Key, Left Front Damage, Selling De-Registered","CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006770234/2002-honda-civic-hatch?referringPage=SearchResults
Nissan,Cube,Yes,$650,N/A,," Engine Damage, Glass Broken, Interior Damage, Ignition Damage, Left Side Damage, Roof Damage, Vandalised - Interior, Impact Medium - Left Side, Stolen & Recovered, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006760238/2005-nissan-cube-station-wagon?referringPage=SearchResults
Holden,Captiva,No,$600,N/A,1," Front Damage, Left Front Damage, Left Rear Damage, Left Side Damage, Right Front Damage, Impact Light - Left Side, Selling De-Registered","5spd Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006760243/2009-holden-captiva-cx-awd-v6-at-station-wagon?referringPage=SearchResults
Nissan,Note,No,$0,"189,982",1," Rear Damage, Impact Heavy - Rear, Selling De-Registered","CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006770245/2005-nissan-note-hatch?referringPage=SearchResults
Honda,Odyssey,No,$400,"230,911",1," Front Damage, Selling De-Registered","Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006680261/2005-honda-odyssey-station-wagon?referringPage=SearchResults
PATCHELL,4SH MB,No,N/A,N/A,, Selling Registered,N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000006620279/2002-patchell-4sh-mb-mfea-log-trailer?referringPage=SearchResults
PATCHELL,3SH,No,N/A,N/A,, Selling Registered,N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000006620287/2003-patchell-3sh-mfea-log-trailer?referringPage=SearchResults
Honda,Civic,No,$300,N/A,1," Front Damage, Impact Medium - Front, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006700298/2001-honda-civic-1500-hatch?referringPage=SearchResults
PATCHELL,4SH MB,No,N/A,N/A,, Selling Registered,N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000006620303/2009-patchell-4sh-mb-mfea-log-trailer?referringPage=SearchResults
MCEWAN,BT201,No,N/A,N/A,, Selling Registered,N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000006620308/1993-mcewan-bt201-mfea-log-trailer-a---b-logging?referringPage=SearchResults
Ford,Focus,No,$400,"144,165",1," Left Side Damage, Suspension Damage, Selling De-Registered","4spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006760315/2008-ford-focus-zetec-2-0-a-hatch-hatch?referringPage=SearchResults
FOTON,Aumark,No,$80,"64,980",2," Left Side Damage, Right Side Damage, Impact Heavy - Left Side, Impact Medium - Front, Impact Light - Right Side, Selling De-Registered","Manual,",3,N/A,https://manheim.co.nz/damaged-vehicles/000000000006750324/2019-foton-aumark-bj1051-2-8-flat-deck-truck-gvm-5-650kg?referringPage=SearchResults
Chevrolet,Corvette,Yes,N/A,N/A,0," Right Side Damage, Impact Heavy - Right Side, Selling Registered","Automatic,",2,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006760351/1998-chevrolet-corvette-coup%C3%A9?referringPage=SearchResults
Suzuki,Swift,No,$400,"146,071",1," Left Front Damage, Impact Medium - Front, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006760364/2007-suzuki-swift-hatch-1-6-5dr-sport-hatch?referringPage=SearchResults
Toyota,Markx,No,$300,"92,039",0," Ignition Damage, Left Side Damage, Stolen & Stripped, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006760383/2005-toyota-markx-sedan?referringPage=SearchResults
Volkswagen,Golf,No,N/A,N/A,0," Front Damage, Impact Heavy - Front, Airbags Deployed, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006770409/2022-volkswagen-golf-tsi-r-line-1-4pt-hatch?referringPage=SearchResults
FORZA,Ciclone,Yes,$100,"2,136",0," Engine Damage, Stolen & Recovered, Selling Registered","Automatic,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006710508/2018-forza-ciclone-scooter?referringPage=SearchResults
Toyota,Starlet,No,$400,"132,772",1," Front Damage, Impact Heavy - Front, Selling De-Registered","4spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006770534/1996-toyota-starlet-hatch?referringPage=SearchResults
BMW,535i,No,N/A,"118,060",2," Water Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006770537/2012-bmw-535i-sedan?referringPage=SearchResults
Nissan,Note,No,$400,"203,728",1," Front Damage, Selling De-Registered","CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006770538/2010-nissan-note-hatch?referringPage=SearchResults
Suzuki,LS650,No,$0,"11,596",0," Front Damage, Tank Damage, Seat Damaged, Frame Damaged, Impact Heavy - Front, Selling De-Registered","Automatic,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006770539/2013-suzuki-ls650-boulevard-s40-motorcycle?referringPage=SearchResults
Peugeot,308,Yes,"$2,225","32,253",0," Left Side Damage, Impact Medium - Front, Impact Medium - Left Side, Selling Registered","6spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006770546/2014-peugeot-308-active-1-6-hatch?referringPage=SearchResults
Mitsubishi,Colt,No,$300,"152,811",1," Left Side Damage, Impact Light - Left Side, Selling De-Registered","CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006770559/2006-mitsubishi-colt-hatch?referringPage=SearchResults
